rcity,grade,distance,rec,races,bet,refund,hit,refund_rate,roi,sample_from,sample_to
서울,국6등급,1700,A4,36,21600,66260.0,13,3.0675925925925926,2.0675925925925926,20231201,20251221
서울,국OPEN,1200,A5,8,8000,11520.0,2,1.44,0.44,20231201,20251221
서울,국OPEN,1400,rBOX4,6,2400,1900.0,1,0.7916666666666666,-0.20833333333333334,20231201,20251221
서울,국OPEN,1600,A4,2,1200,3479.9999999999995,1,2.8999999999999995,1.8999999999999997,20231201,20251221
서울,국OPEN,1700,A5,2,2000,11070.0,2,5.535,4.535,20231201,20251221
서울,국OPEN,1800,rBOX4,4,1600,77670.0,1,48.54375,47.54375,20231201,20251221
서울,국OPEN,2000,A4,8,4800,800.0,2,0.16666666666666666,-0.8333333333333334,20231201,20251221
서울,혼3등급,1200,A5,36,36000,132100.0,10,3.6694444444444443,2.6694444444444443,20231201,20251221
서울,혼3등급,1400,A5,37,37000,48690.0,14,1.315945945945946,0.31594594594594594,20231201,20251221
서울,혼3등급,1600,rBOX4,24,9600,21540.0,4,2.24375,1.24375,20231201,20251221
서울,혼3등급,1800,A4,52,31200,47620.0,11,1.5262820512820512,0.5262820512820513,20231201,20251221
서울,혼4등급,1200,A4,46,27600,61450.0,14,2.226449275362319,1.2264492753623188,20231201,20251221
서울,혼4등급,1300,rBOX6,29,58000,59750.0,17,1.0301724137931034,0.03017241379310345,20231201,20251221
서울,혼4등급,1400,A5,61,61000,175360.0,27,2.874754098360656,1.8747540983606557,20231201,20251221
서울,혼4등급,1600,rBOX5,30,30000,38690.0,12,1.2896666666666667,0.2896666666666667,20231201,20251221
서울,혼4등급,1700,rBOX6,24,48000,131320.0,19,2.7358333333333333,1.7358333333333333,20231201,20251221
서울,혼4등급,1800,A5,52,52000,102110.0,24,1.9636538461538462,0.9636538461538462,20231201,20251221
서울,혼OPEN,1200,rBOX4,10,4000,3530.0,3,0.8825,-0.1175,20231201,20251221
서울,혼OPEN,1400,rBOX4,2,800,3520.0000000000005,1,4.4,3.4000000000000004,20231201,20251221
서울,혼OPEN,1800,A4,5,3000,68930.0,3,22.976666666666667,21.976666666666667,20231201,20251221
서울,혼OPEN,2000,rBOX4,5,2000,4430.0,3,2.215,1.215,20231201,20251221
서울,혼OPEN,2300,rBOX4,3,1200,790.0,1,0.6583333333333333,-0.3416666666666667,20231201,20251221
