rcity,grade,distance,rec,races,bet,refund,hit,refund_rate,roi,sample_from,sample_to
부산,국3등급,1600,A6,12,18000,10930.0,4,0.6072222222222222,-0.3927777777777778,20231201,20251221
부산,국3등급,1600,rBOX4,12,4800,1450.0,2,0.3020833333333333,-0.6979166666666666,20231201,20251221
부산,국3등급,1600,rBOX5,12,12000,1450.0,2,0.12083333333333333,-0.8791666666666667,20231201,20251221
부산,국3등급,1600,rBOX6,12,24000,11360.0,3,0.47333333333333333,-0.5266666666666666,20231201,20251221
부산,국3등급,1800,A4,28,16800,30080.0,7,1.7904761904761906,0.7904761904761904,20231201,20251221
부산,국3등급,1800,A5,28,28000,42530.0,13,1.5189285714285714,0.5189285714285714,20231201,20251221
부산,국3등급,1800,A6,28,42000,45300.0,14,1.0785714285714285,0.07857142857142857,20231201,20251221
부산,국3등급,1800,rBOX4,28,11200,16980.0,5,1.5160714285714285,0.5160714285714286,20231201,20251221
부산,국3등급,1800,rBOX5,28,28000,32720.0,8,1.1685714285714286,0.16857142857142857,20231201,20251221
부산,국3등급,1800,rBOX6,28,56000,46550.0,15,0.83125,-0.16875,20231201,20251221
부산,국4등급,1200,A4,35,21000,15780.0,9,0.7514285714285714,-0.24857142857142858,20231201,20251221
부산,국4등급,1200,A5,35,35000,28480.0,12,0.8137142857142857,-0.18628571428571428,20231201,20251221
부산,국4등급,1200,A6,35,52500,30480.0,13,0.5805714285714285,-0.41942857142857143,20231201,20251221
부산,국4등급,1200,rBOX4,35,14000,12960.0,8,0.9257142857142857,-0.07428571428571429,20231201,20251221
부산,국4등급,1200,rBOX5,35,35000,46980.0,14,1.3422857142857143,0.3422857142857143,20231201,20251221
부산,국4등급,1200,rBOX6,35,70000,224650.0,19,3.209285714285714,2.209285714285714,20231201,20251221
부산,국4등급,1300,A4,1,600,0.0,0,0.0,-1.0,20231201,20251221
부산,국4등급,1300,A5,1,1000,0.0,0,0.0,-1.0,20231201,20251221
부산,국4등급,1300,A6,1,1500,0.0,0,0.0,-1.0,20231201,20251221
부산,국4등급,1300,rBOX4,1,400,0.0,0,0.0,-1.0,20231201,20251221
부산,국4등급,1300,rBOX5,1,1000,0.0,0,0.0,-1.0,20231201,20251221
부산,국4등급,1300,rBOX6,1,2000,0.0,0,0.0,-1.0,20231201,20251221
부산,국4등급,1400,A4,40,24000,12500.0,8,0.5208333333333334,-0.4791666666666667,20231201,20251221
부산,국4등급,1400,A5,40,40000,52580.0,14,1.3145,0.3145,20231201,20251221
부산,국4등급,1400,A6,40,60000,56010.0,16,0.9335,-0.0665,20231201,20251221
부산,국4등급,1400,rBOX4,40,16000,21970.0,6,1.373125,0.373125,20231201,20251221
부산,국4등급,1400,rBOX5,40,40000,59070.0,11,1.47675,0.47675,20231201,20251221
