경마장,경주일,년월,경주번호,등급,경주거리,출주두수,신마수,정산여부,actual_top3,m_rank_top4,r_pop_top4,m_rank_top6,r_pop_top6,overlap_1to4,m_BOX4_hit,m_BOX4_refund,m_BOX4_bet,r_BOX4_hit,r_BOX4_refund,r_BOX4_bet,m_BOX6_hit,m_BOX6_refund,m_BOX6_bet,r_BOX6_hit,r_BOX6_refund,r_BOX6_bet
부산,20231222,202312,6,국4등급,1400.0,10,0,SETTLED,"2,8,10","10,8,6,4","10,8,6,4","10,8,6,4,5,2","10,8,6,4,5,2",4,0,0.0,400,0,0.0,400,1,5290.0,2000,1,5290.0,2000
부산,20231222,202312,7,혼4등급,1800.0,11,0,SETTLED,"2,7,8","7,4,6,11","4,6,7,11","7,4,6,11,9,5","4,6,7,11,2,1",4,0,0.0,400,0,0.0,400,0,0.0,2000,0,0.0,2000
부산,20231222,202312,8,혼3등급,1600.0,11,1,SETTLED,"4,8,10","6,4,10,9","6,4,9,10","6,4,10,9,2,11","6,4,9,10,2,3",4,0,0.0,400,0,0.0,400,0,0.0,2000,0,0.0,2000
부산,20231224,202312,2,국6등급,1300.0,9,1,SETTLED,"6,7,8","6,8,7,4","6,8,7,4","6,8,7,4,9,1","6,8,7,4,9,1",4,1,320.0,400,1,320.0,400,1,320.0,2000,1,320.0,2000
부산,20231224,202312,3,국6등급,1400.0,11,0,SETTLED,"2,9,11","2,3,8,6","2,3,8,6","2,3,8,6,9,5","2,3,8,6,9,11",4,0,0.0,400,0,0.0,400,0,0.0,2000,1,23950.0,2000
부산,20231224,202312,4,국6등급,1600.0,10,0,SETTLED,"4,9,10","9,2,6,5","9,2,6,5","9,2,6,5,10,7","9,2,6,5,3,10",4,0,0.0,400,0,0.0,400,0,0.0,2000,0,0.0,2000
부산,20231224,202312,5,국5등급,1800.0,11,0,SETTLED,"6,7,8","8,7,9,4","8,9,7,3","8,7,9,4,2,3","8,9,7,3,2,6",3,0,0.0,400,0,0.0,400,0,0.0,2000,1,1550.0,2000
부산,20231224,202312,6,국5등급,1400.0,11,1,SETTLED,"2,3,5","11,5,10,4","11,5,10,4","11,5,10,4,8,1","11,5,10,4,8,1",4,0,0.0,400,0,0.0,400,0,0.0,2000,0,0.0,2000
부산,20231224,202312,7,국5등급,1200.0,11,0,SETTLED,"2,4,7","7,6,4,2","7,10,6,5","7,6,4,2,5,11","7,10,6,5,2,8",2,1,2000.0,400,0,0.0,400,1,2000.0,2000,0,0.0,2000
부산,20231224,202312,8,혼4등급,1200.0,11,0,SETTLED,"2,5,7","2,9,10,5","2,10,9,6","2,9,10,5,6,1","2,10,9,6,1,11",3,0,0.0,400,0,0.0,400,0,0.0,2000,0,0.0,2000
부산,20231224,202312,9,국3등급,1200.0,11,0,SETTLED,"2,3,11","4,10,7,1","4,7,1,6","4,10,7,1,6,3","4,7,1,6,9,3",3,0,0.0,400,0,0.0,400,0,0.0,2000,0,0.0,2000
부산,20231224,202312,10,1등급,2000.0,10,0,SETTLED,"8,9,10","8,4,10,3","8,3,4,6","8,4,10,3,9,5","8,3,4,6,5,10",3,0,0.0,400,0,0.0,400,1,1400.0,2000,0,0.0,2000
부산,20231229,202312,4,국6등급,1400.0,11,1,SETTLED,"2,3,4","3,2,4,10","3,2,4,10","3,2,4,10,8,6","3,2,4,10,8,6",4,1,660.0,400,1,660.0,400,1,660.0,2000,1,660.0,2000
부산,20231229,202312,5,국5등급,1300.0,11,1,SETTLED,"3,9,10","10,9,5,2","10,9,8,2","10,9,5,2,7,11","10,9,8,2,5,11",3,0,0.0,400,0,0.0,400,0,0.0,2000,0,0.0,2000
부산,20231229,202312,6,국5등급,1800.0,11,0,SETTLED,"2,6,7","3,1,10,6","3,1,10,6","3,1,10,6,2,8","3,1,10,6,9,8",4,0,0.0,400,0,0.0,400,0,0.0,2000,0,0.0,2000
부산,20231229,202312,7,혼4등급,1400.0,11,0,SETTLED,"4,8,11","4,2,10,7","4,2,10,7","4,2,10,7,1,8","4,2,10,7,1,8",4,0,0.0,400,0,0.0,400,0,0.0,2000,0,0.0,2000
