race_key,경마장,경주일,년월,경주번호,등급,경주거리,신마수,삼복승식배당율,실제_top3_마번,r_pop_top4,m_rank_top4,r_pop_top6,m_rank_top6,r_BOX4_unit,m_BOX4_unit,r_BOX6_unit,m_BOX6_unit,r_BOX4_bet,r_BOX4_hit,r_BOX4_refund,m_BOX4_bet,m_BOX4_hit,m_BOX4_refund,r_BOX6_bet,r_BOX6_hit,r_BOX6_refund,m_BOX6_bet,m_BOX6_hit,m_BOX6_refund,TOTAL_bet,TOTAL_refund
부산_20231224_7,부산,20231224,202312,7,국5등급,1200.0,0,20.0,"2,4,7","7,10,6,5","7,6,4,2","7,10,6,5,2,8","7,6,4,2,5,11",500,500,100,100,2000.0,0,0.0,2000.0,1,10000.0,2000.0,0,0.0,2000.0,1,2000.0,8000.0,12000.0
부산_20231224_8,부산,20231224,202312,8,혼4등급,1200.0,0,12.4,"2,5,7","2,10,9,6","2,9,10,5","2,10,9,6,1,11","2,9,10,5,6,1",500,500,100,100,2000.0,0,0.0,2000.0,0,0.0,2000.0,0,0.0,2000.0,0,0.0,8000.0,0.0
부산_20231224_9,부산,20231224,202312,9,국3등급,1200.0,0,582.2,"2,3,11","4,7,1,6","4,10,7,1","4,7,1,6,9,3","4,10,7,1,6,3",500,500,100,100,2000.0,0,0.0,2000.0,0,0.0,2000.0,0,0.0,2000.0,0,0.0,8000.0,0.0
부산_20231224_10,부산,20231224,202312,10,1등급,2000.0,0,14.0,"8,9,10","8,3,4,6","8,4,10,3","8,3,4,6,5,10","8,4,10,3,9,5",500,500,100,100,2000.0,0,0.0,2000.0,0,0.0,2000.0,0,0.0,2000.0,1,1400.0,8000.0,1400.0
부산_20231229_4,부산,20231229,202312,4,국6등급,1400.0,1,6.6,"2,3,4","3,2,4,10","3,2,4,10","3,2,4,10,8,6","3,2,4,10,8,6",500,500,100,100,2000.0,1,3300.0,2000.0,1,3300.0,2000.0,1,660.0,2000.0,1,660.0,8000.0,7920.0
부산_20231229_5,부산,20231229,202312,5,국5등급,1300.0,1,70.9,"3,9,10","10,9,8,2","10,9,5,2","10,9,8,2,5,11","10,9,5,2,7,11",500,500,100,100,2000.0,0,0.0,2000.0,0,0.0,2000.0,0,0.0,2000.0,0,0.0,8000.0,0.0
부산_20231229_6,부산,20231229,202312,6,국5등급,1800.0,0,67.4,"2,6,7","3,1,10,6","3,1,10,6","3,1,10,6,9,8","3,1,10,6,2,8",500,500,100,100,2000.0,0,0.0,2000.0,0,0.0,2000.0,0,0.0,2000.0,0,0.0,8000.0,0.0
부산_20231229_7,부산,20231229,202312,7,혼4등급,1400.0,0,140.2,"4,8,11","4,2,10,7","4,2,10,7","4,2,10,7,1,8","4,2,10,7,1,8",500,500,100,100,2000.0,0,0.0,2000.0,0,0.0,2000.0,0,0.0,2000.0,0,0.0,8000.0,0.0
부산_20231229_8,부산,20231229,202312,8,국4등급,1200.0,0,44.6,"1,2,7","11,7,5,10","11,7,5,2","11,7,5,10,2,3","11,7,5,2,10,4",500,500,100,100,2000.0,0,0.0,2000.0,0,0.0,2000.0,0,0.0,2000.0,0,0.0,8000.0,0.0
부산_20231229_9,부산,20231229,202312,9,혼3등급,1200.0,1,6.2,"1,6,7","1,8,7,2","1,7,8,6","1,8,7,2,6,9","1,7,8,6,2,9",500,500,100,100,2000.0,0,0.0,2000.0,1,3100.0,2000.0,1,620.0,2000.0,1,620.0,8000.0,4340.0
부산_20231231_3,부산,20231231,202312,3,국5등급,1200.0,0,17.5,"1,5,10","10,1,9,5","10,1,9,5","10,1,9,5,8,11","10,1,9,5,8,4",500,500,100,100,2000.0,1,8750.0,2000.0,1,8750.0,2000.0,1,1750.0,2000.0,1,1750.0,8000.0,21000.0
부산_20231231_4,부산,20231231,202312,4,국5등급,1400.0,0,52.2,"1,8,9","6,8,1,2","6,8,1,2","6,8,1,2,9,3","6,8,1,2,9,3",500,500,100,100,2000.0,0,0.0,2000.0,0,0.0,2000.0,1,5220.0,2000.0,1,5220.0,8000.0,10440.0
부산_20231231_5,부산,20231231,202312,5,혼4등급,1600.0,0,12.9,"2,3,6","3,6,11,9","3,6,11,9","3,6,11,9,4,2","3,6,11,9,7,2",500,500,100,100,2000.0,0,0.0,2000.0,0,0.0,2000.0,1,1290.0,2000.0,1,1290.0,8000.0,2580.0
부산_20231231_6,부산,20231231,202312,6,2등급,2000.0,0,49.5,"4,6,10","8,3,10,11","10,3,8,6","8,3,10,11,9,6","10,3,8,6,2,9",500,500,100,100,2000.0,0,0.0,2000.0,0,0.0,2000.0,0,0.0,2000.0,0,0.0,8000.0,0.0
부산_20240105_2,부산,20240105,202401,2,국6등급,1200.0,0,31.9,"4,6,8","10,4,6,11","10,4,3,6","10,4,6,11,8,3","10,4,3,6,11,8",500,500,100,100,2000.0,0,0.0,2000.0,0,0.0,2000.0,1,3190.0,2000.0,1,3190.0,8000.0,6380.0
부산_20240105_3,부산,20240105,202401,3,국6등급,1300.0,0,11.3,"2,6,8","8,6,10,2","6,8,2,7","8,6,10,2,7,9","6,8,2,7,3,9",500,500,100,100,2000.0,1,5650.0,2000.0,1,5650.0,2000.0,1,1130.0,2000.0,1,1130.0,8000.0,13560.0
부산_20240105_4,부산,20240105,202401,4,국5등급,1300.0,0,46.6,"4,6,9","4,10,11,7","11,4,7,6","4,10,11,7,6,2","11,4,7,6,5,8",500,500,100,100,2000.0,0,0.0,2000.0,0,0.0,2000.0,0,0.0,2000.0,0,0.0,8000.0,0.0
부산_20240105_5,부산,20240105,202401,5,국5등급,1400.0,0,38.5,"2,4,5","5,1,3,7","5,2,4,1","5,1,3,7,6,2","5,2,4,1,11,7",500,500,100,100,2000.0,0,0.0,2000.0,1,19250.0,2000.0,0,0.0,2000.0,1,3850.0,8000.0,23100.0
부산_20240105_6,부산,20240105,202401,6,국5등급,1600.0,0,125.3,"3,5,6","5,2,6,4","1,3,6,11","5,2,6,4,10,11","1,3,6,11,4,8",500,500,100,100,2000.0,0,0.0,2000.0,0,0.0,2000.0,0,0.0,2000.0,0,0.0,8000.0,0.0
부산_20240105_7,부산,20240105,202401,7,혼4등급,1600.0,0,68.6,"1,4,10","10,8,5,1","10,9,8,4","10,8,5,1,2,11","10,9,8,4,11,1",500,500,100,100,2000.0,0,0.0,2000.0,0,0.0,2000.0,0,0.0,2000.0,1,6859.999999999999,8000.0,6859.999999999999
부산_20240105_8,부산,20240105,202401,8,2등급,1400.0,0,101.2,"2,4,10","4,11,10,2","4,1,2,3","4,11,10,2,1,5","4,1,2,3,9,10",500,500,100,100,2000.0,1,50600.0,2000.0,0,0.0,2000.0,1,10120.0,2000.0,1,10120.0,8000.0,70840.0
부산_20240107_1,부산,20240107,202401,1,국6등급,1400.0,1,73.8,"2,5,6","11,2,8,5","8,11,1,3","11,2,8,5,6,7","8,11,1,3,2,6",500,500,100,100,2000.0,0,0.0,2000.0,0,0.0,2000.0,1,7380.0,2000.0,0,0.0,8000.0,7380.0
부산_20240107_2,부산,20240107,202401,2,국6등급,1300.0,0,14.7,"7,9,10","9,10,8,7","9,10,7,1","9,10,8,7,11,1","9,10,7,1,5,11",500,500,100,100,2000.0,1,7350.0,2000.0,1,7350.0,2000.0,1,1470.0,2000.0,1,1470.0,8000.0,17640.0
부산_20240107_3,부산,20240107,202401,3,혼4등급,1600.0,0,50.9,"1,6,9","9,1,2,8","9,4,1,6","9,1,2,8,10,6","9,4,1,6,2,10",500,500,100,100,2000.0,0,0.0,2000.0,1,25450.0,2000.0,1,5090.0,2000.0,1,5090.0,8000.0,35630.0
부산_20240107_4,부산,20240107,202401,4,혼4등급,1200.0,0,128.5,"5,6,9","8,4,5,9","4,8,9,3","8,4,5,9,3,10","4,8,9,3,5,10",500,500,100,100,2000.0,0,0.0,2000.0,0,0.0,2000.0,0,0.0,2000.0,0,0.0,8000.0,0.0
부산_20240107_5,부산,20240107,202401,5,국4등급,1400.0,0,66.9,"2,3,4","9,6,4,10","6,9,10,3","9,6,4,10,3,11","6,9,10,3,7,11",500,500,100,100,2000.0,0,0.0,2000.0,0,0.0,2000.0,0,0.0,2000.0,0,0.0,8000.0,0.0
부산_20240107_6,부산,20240107,202401,6,혼3등급,1800.0,0,150.9,"4,8,10","6,4,2,10","6,9,4,7","6,4,2,10,5,3","6,9,4,7,10,2",500,500,100,100,2000.0,0,0.0,2000.0,0,0.0,2000.0,0,0.0,2000.0,0,0.0,8000.0,0.0
부산_20240112_2,부산,20240112,202401,2,국6등급,1300.0,1,106.4,"6,8,10","10,5,6,8","10,5,7,9","10,5,6,8,4,3","10,5,7,9,8,4",500,500,100,100,2000.0,1,53200.0,2000.0,0,0.0,2000.0,1,10640.0,2000.0,0,0.0,8000.0,63840.0
부산_20240112_3,부산,20240112,202401,3,국6등급,1400.0,0,22.3,"3,4,5","5,10,8,4","10,5,8,6","5,10,8,4,3,7","10,5,8,6,4,7",500,500,100,100,2000.0,0,0.0,2000.0,0,0.0,2000.0,1,2230.0,2000.0,0,0.0,8000.0,2230.0
부산_20240112_5,부산,20240112,202401,5,국5등급,1200.0,0,263.5,"3,7,9","6,10,9,3","6,10,3,8","6,10,9,3,5,4","6,10,3,8,9,7",500,500,100,100,2000.0,0,0.0,2000.0,0,0.0,2000.0,0,0.0,2000.0,1,26350.0,8000.0,26350.0
부산_20240112_6,부산,20240112,202401,6,국5등급,1300.0,0,105.8,"3,4,7","1,3,6,7","1,7,5,8","1,3,6,7,2,5","1,7,5,8,3,6",500,500,100,100,2000.0,0,0.0,2000.0,0,0.0,2000.0,0,0.0,2000.0,0,0.0,8000.0,0.0
부산_20240112_7,부산,20240112,202401,7,국5등급,1800.0,0,36.3,"5,6,7","1,5,9,2","1,9,2,10","1,5,9,2,6,10","1,9,2,10,7,6",500,500,100,100,2000.0,0,0.0,2000.0,0,0.0,2000.0,0,0.0,2000.0,0,0.0,8000.0,0.0
부산_20240112_8,부산,20240112,202401,8,혼3등급,1200.0,0,121.2,"1,2,5","5,9,6,3","5,3,2,4","5,9,6,3,7,11","5,3,2,4,6,7",500,500,100,100,2000.0,0,0.0,2000.0,0,0.0,2000.0,0,0.0,2000.0,0,0.0,8000.0,0.0
부산_20240114_2,부산,20240114,202401,2,국6등급,1600.0,1,163.2,"2,4,10","6,3,1,10","6,3,10,8","6,3,1,10,11,8","6,3,10,8,1,5",500,500,100,100,2000.0,0,0.0,2000.0,0,0.0,2000.0,0,0.0,2000.0,0,0.0,8000.0,0.0
부산_20240114_3,부산,20240114,202401,3,국5등급,1400.0,0,19.1,"2,3,7","7,5,6,2","5,7,6,4","7,5,6,2,4,3","5,7,6,4,3,8",500,500,100,100,2000.0,0,0.0,2000.0,0,0.0,2000.0,1,1910.0000000000002,2000.0,0,0.0,8000.0,1910.0000000000002
부산_20240114_4,부산,20240114,202401,4,국5등급,1400.0,0,26.7,"1,2,7","7,1,6,5","1,5,4,8","7,1,6,5,3,8","1,5,4,8,2,6",500,500,100,100,2000.0,0,0.0,2000.0,0,0.0,2000.0,0,0.0,2000.0,0,0.0,8000.0,0.0
부산_20240114_5,부산,20240114,202401,5,국5등급,1300.0,0,38.9,"2,4,5","1,2,5,8","1,2,8,4","1,2,5,8,4,3","1,2,8,4,3,5",500,500,100,100,2000.0,0,0.0,2000.0,0,0.0,2000.0,1,3890.0,2000.0,1,3890.0,8000.0,7780.0
부산_20240114_6,부산,20240114,202401,6,국4등급,1200.0,0,93.5,"2,4,10","2,6,7,8","2,8,7,4","2,6,7,8,4,10","2,8,7,4,10,5",500,500,100,100,2000.0,0,0.0,2000.0,0,0.0,2000.0,1,9350.0,2000.0,1,9350.0,8000.0,18700.0
부산_20240114_7,부산,20240114,202401,7,혼4등급,1800.0,0,138.8,"2,5,6","1,6,4,2","6,1,7,2","1,6,4,2,5,3","6,1,7,2,3,4",500,500,100,100,2000.0,0,0.0,2000.0,0,0.0,2000.0,1,13880.000000000002,2000.0,0,0.0,8000.0,13880.000000000002
부산_20240114_8,부산,20240114,202401,8,1등급,1200.0,0,1020.8,"2,7,10","11,8,1,5","1,7,6,4","11,8,1,5,2,3","1,7,6,4,8,10",500,500,100,100,2000.0,0,0.0,2000.0,0,0.0,2000.0,0,0.0,2000.0,0,0.0,8000.0,0.0
부산_20240119_2,부산,20240119,202401,2,국6등급,1300.0,1,20.4,"3,5,11","11,9,6,2","9,11,5,2","11,9,6,2,5,8","9,11,5,2,6,10",500,500,100,100,2000.0,0,0.0,2000.0,0,0.0,2000.0,0,0.0,2000.0,0,0.0,8000.0,0.0
