경마장,조합개수,순위,전략keys,전략명,경주수,적중경주수,적중율,총베팅액,총환수액,이익금액,ROI,구멍수,프리셋
서울부산 통합,3,1,anchor1_57_24 + anchor1_58_24 + anchor1_25,1축(5~7) / 2~4 삼쌍 + 1축(5~8) / 2~4 삼쌍 + 1축(2~5) 삼쌍,372,39,0.10483870967741936,1227600.0,1635390.0,407790.0,1.332184750733138,33,
서울부산 통합,3,2,anchor1_57_24 + anchor1_24_58 + anchor1_58_24,1축(5~7) / 2~4 삼쌍 + 1축(2~4) / 5~8 삼쌍 + 1축(5~8) / 2~4 삼쌍,372,45,0.12096774193548387,1227600.0,1618710.0,391110.0,1.3185972629521017,33,
서울부산 통합,3,3,anchor1_57_24 + anchor1_24_58 + anchor1_25,1축(5~7) / 2~4 삼쌍 + 1축(2~4) / 5~8 삼쌍 + 1축(2~5) 삼쌍,372,54,0.14516129032258066,1227600.0,1608330.0,380730.0,1.3101417399804496,33,
서울부산 통합,3,4,anchor1_57_24 + anchor1_58_24 + anchor12_3_7,"1축(5~7) / 2~4 삼쌍 + 1축(5~8) / 2~4 삼쌍 + 1축,2축 / 3~7 삼쌍",372,36,0.0967741935483871,967200.0,1260020.0,292820.0,1.3027502067824648,26,
서울부산 통합,3,5,anchor1_57_24 + anchor1_25 + anchor12_3_7,"1축(5~7) / 2~4 삼쌍 + 1축(2~5) 삼쌍 + 1축,2축 / 3~7 삼쌍",372,41,0.11021505376344086,967200.0,1249640.0,282440.0,1.2920181968569064,26,
서울부산 통합,4,1,anchor1_57_24 + anchor1_24_58 + anchor1_58_24 + anchor1_25,1축(5~7) / 2~4 삼쌍 + 1축(2~4) / 5~8 삼쌍 + 1축(5~8) / 2~4 삼쌍 + 1축(2~5) 삼쌍,372,57,0.1532258064516129,1674000.0,2171700.0,497700.0,1.2973118279569893,45,
서울부산 통합,4,2,anchor1_57_24 + anchor1_58_24 + anchor1_25 + anchor12_3_7,"1축(5~7) / 2~4 삼쌍 + 1축(5~8) / 2~4 삼쌍 + 1축(2~5) 삼쌍 + 1축,2축 / 3~7 삼쌍",372,44,0.11827956989247312,1413600.0,1813010.0,399410.0,1.282548104131296,38,
서울부산 통합,4,3,anchor1_57_24 + anchor1_24_58 + anchor1_58_24 + anchor12_3_7,"1축(5~7) / 2~4 삼쌍 + 1축(2~4) / 5~8 삼쌍 + 1축(5~8) / 2~4 삼쌍 + 1축,2축 / 3~7 삼쌍",372,52,0.13978494623655913,1413600.0,1796330.0,382730.0,1.27074844368987,38,
서울부산 통합,4,4,anchor1_57_24 + anchor1_58_24 + anchor1_25 + anchor1_25_68,1축(5~7) / 2~4 삼쌍 + 1축(5~8) / 2~4 삼쌍 + 1축(2~5) 삼쌍 + 1축(2~5) / 6~8 삼쌍,372,60,0.16129032258064516,1674000.0,2125450.0,451450.0,1.2696833930704898,45,
서울부산 통합,4,5,anchor1_57_24 + anchor1_58_24 + anchor1_25 + anchor1_25_trio,1축(5~7) / 2~4 삼쌍 + 1축(5~8) / 2~4 삼쌍 + 1축(2~5) 삼쌍 + 1축(2~5) 삼복,372,71,0.19086021505376344,1450800.0,1837790.0,386990.0,1.2667424869037773,39,
서울부산 통합,5,1,anchor1_57_24 + anchor1_58_24 + anchor1_25 + anchor1_24_58 + anchor12_3_7,"1축(5~7) / 2~4 삼쌍 + 1축(5~8) / 2~4 삼쌍 + 1축(2~5) 삼쌍 + 1축(2~4) / 5~8 삼쌍 + 1축,2축 / 3~7 삼쌍",372,57,0.1532258064516129,1860000.0,2349320.0,489320.0,1.2630752688172042,50,
서울부산 통합,5,2,anchor1_57_24 + anchor1_58_24 + anchor1_25 + anchor1_24_58 + anchor1_25_68,1축(5~7) / 2~4 삼쌍 + 1축(5~8) / 2~4 삼쌍 + 1축(2~5) 삼쌍 + 1축(2~4) / 5~8 삼쌍 + 1축(2~5) / 6~8 삼쌍,372,60,0.16129032258064516,2120400.0,2661760.0,541360.0,1.255310318807772,57,
서울부산 통합,5,3,anchor1_57_24 + anchor1_58_24 + anchor1_25 + anchor1_24_58 + anchor1_25_trio,1축(5~7) / 2~4 삼쌍 + 1축(5~8) / 2~4 삼쌍 + 1축(2~5) 삼쌍 + 1축(2~4) / 5~8 삼쌍 + 1축(2~5) 삼복,372,89,0.239247311827957,1897200.0,2374100.0,476900.0,1.251370440649378,51,
서울부산 통합,5,4,anchor1_57_24 + anchor1_58_24 + anchor1_25 + anchor1_24_58 + anchor1_24_57,1축(5~7) / 2~4 삼쌍 + 1축(5~8) / 2~4 삼쌍 + 1축(2~5) 삼쌍 + 1축(2~4) / 5~8 삼쌍 + 1축(2~4) / 5~7 삼쌍,372,57,0.1532258064516129,2008800.0,2512870.0,504070.0,1.2509309040223018,54,
서울부산 통합,5,5,anchor1_57_24 + anchor1_58_24 + anchor1_25 + anchor1_24_58 + anchor2_37_trifecta,1축(5~7) / 2~4 삼쌍 + 1축(5~8) / 2~4 삼쌍 + 1축(2~5) 삼쌍 + 1축(2~4) / 5~8 삼쌍 + 2축(3~7) 삼쌍,372,79,0.21236559139784947,2418000.0,3013870.0,595870.0,1.246430934656741,65,
서울부산 통합,6,1,anchor1_57_24 + anchor1_58_24 + anchor1_25 + anchor1_24_58 + anchor1_25_68 + anchor12_3_7,"1축(5~7) / 2~4 삼쌍 + 1축(5~8) / 2~4 삼쌍 + 1축(2~5) 삼쌍 + 1축(2~4) / 5~8 삼쌍 + 1축(2~5) / 6~8 삼쌍 + 1축,2축 / 3~7 삼쌍",372,60,0.16129032258064516,2306400.0,2839380.0,532980.0,1.2310874089490114,62,
서울부산 통합,6,2,anchor1_57_24 + anchor1_58_24 + anchor1_25 + anchor1_24_58 + anchor1_24_57 + anchor12_3_7,"1축(5~7) / 2~4 삼쌍 + 1축(5~8) / 2~4 삼쌍 + 1축(2~5) 삼쌍 + 1축(2~4) / 5~8 삼쌍 + 1축(2~4) / 5~7 삼쌍 + 1축,2축 / 3~7 삼쌍",372,57,0.1532258064516129,2194800.0,2690490.0,495690.0,1.2258474576271186,59,
서울부산 통합,6,3,anchor1_57_24 + anchor1_58_24 + anchor1_25 + anchor1_24_58 + anchor2_37_trifecta + anchor12_3_7,"1축(5~7) / 2~4 삼쌍 + 1축(5~8) / 2~4 삼쌍 + 1축(2~5) 삼쌍 + 1축(2~4) / 5~8 삼쌍 + 2축(3~7) 삼쌍 + 1축,2축 / 3~7 삼쌍",372,79,0.21236559139784947,2604000.0,3191490.0,587490.0,1.225610599078341,70,
서울부산 통합,6,4,anchor1_57_24 + anchor1_58_24 + anchor1_25 + anchor1_24_58 + anchor12_3_7 + anchor1_25_trio,"1축(5~7) / 2~4 삼쌍 + 1축(5~8) / 2~4 삼쌍 + 1축(2~5) 삼쌍 + 1축(2~4) / 5~8 삼쌍 + 1축,2축 / 3~7 삼쌍 + 1축(2~5) 삼복",372,89,0.239247311827957,2083200.0,2551720.0,468520.0,1.2249039938556068,56,
서울부산 통합,6,5,anchor1_57_24 + anchor1_58_24 + anchor1_25 + anchor1_24_58 + anchor2_37_trifecta + anchor1_25_68,1축(5~7) / 2~4 삼쌍 + 1축(5~8) / 2~4 삼쌍 + 1축(2~5) 삼쌍 + 1축(2~4) / 5~8 삼쌍 + 2축(3~7) 삼쌍 + 1축(2~5) / 6~8 삼쌍,372,82,0.22043010752688172,2864400.0,3503930.0,639530.0,1.2232683982683983,77,
