전략명,1착군,2착군,3착군,구멍수,적용경주수,전체기준경주수,적중수,적중률,총베팅액,총환수액,이익금,환수율,적중예시
"1착(3,5,7) / 2착(4) / 3착(6) 삼쌍","3,5,7",4,6,3,1837,1837,5,0.0027218290691344584,551100.0,2342400.0,1791300.0,4.25040827436037,"부산 20250404 8R (7, 3, 10) @1898.0 | 부산 20250620 7R (4, 10, 2) @158.0 | 부산 20250824 6R (11, 3, 7) @212.0"
"1착(7) / 2착(4) / 3착(1~2,6) 삼쌍",7,4,"1~2,6",3,1837,1837,8,0.004354926510615134,551100.0,2326600.0,1775500.0,4.2217383414988205,"부산 20250926 7R (3, 9, 5) @1294.0 | 부산 20251002 8R (5, 3, 6) @943.0 | 부산 20251019 6R (9, 10, 8) @595.0"
"1착(1,5,7) / 2착(4) / 3착(6) 삼쌍","1,5,7",4,6,3,1837,1837,18,0.00979858464888405,551100.0,2291900.0,1740800.0,4.158773362366177,"부산 20250117 4R (11, 2, 1) @258.0 | 부산 20250302 2R (11, 5, 3) @427.0 | 부산 20250404 8R (7, 3, 10) @1898.0"
"1착(2,5,7) / 2착(4) / 3착(6) 삼쌍","2,5,7",4,6,3,1837,1837,8,0.004354926510615134,551100.0,2288100.0,1737000.0,4.151878062057703,"부산 20250404 8R (7, 3, 10) @1898.0 | 부산 20250525 4R (11, 6, 9) @142.0 | 부산 20250620 7R (4, 10, 2) @158.0"
"1착(4) / 2착(3) / 3착(1,5~6) 삼쌍",4,3,"1,5~6",3,1837,1837,21,0.011431682090364725,551100.0,2271500.0,1720400.0,4.121756487025948,"부산 20250221 9R (3, 8, 10) @210.0 | 부산 20250309 1R (9, 12, 2) @80.0 | 부산 20250620 5R (1, 2, 7) @425.0"
"1착(6) / 2착(1) / 3착(3,5) 삼쌍",6,1,"3,5",2,1837,1837,11,0.005988023952095809,367400.0,1509200.0,1141800.0,4.107784431137724,"부산 20250328 8R (4, 8, 6) @2360.0 | 부산 20250817 1R (4, 2, 1) @47.0 | 부산 20251019 2R (1, 12, 5) @684.0"
"1착(7) / 2착(2,6) / 3착(3) 삼쌍",7,"2,6",3,2,1837,1837,6,0.00326619488296135,367400.0,1497500.0,1130100.0,4.0759390310288515,"부산 20250110 5R (11, 8, 5) @505.0 | 부산 20250216 3R (7, 6, 11) @7693.0 | 부산 20250302 4R (6, 5, 4) @3375.0"
"1착(3) / 2착(7) / 3착(1~2,5) 삼쌍",3,7,"1~2,5",3,1837,1837,12,0.0065323897659227,551100.0,2232600.0,1681500.0,4.051170386499728,"부산 20250516 2R (3, 6, 8) @563.0 | 부산 20250810 7R (4, 3, 6) @1578.0 | 부산 20251102 4R (2, 9, 3) @368.0"
"1착(2~3,8) / 2착(7) / 3착(5) 삼쌍","2~3,8",7,5,3,1837,1837,9,0.004899292324442025,551100.0,2222500.0,1671400.0,4.032843404100889,"부산 20250119 5R (9, 1, 4) @1895.0 | 부산 20250810 7R (4, 3, 6) @1578.0 | 부산 20251107 3R (1, 3, 12) @14300.0"
"1착(5,7) / 2착(4) / 3착(6,8) 삼쌍","5,7",4,"6,8",4,1837,1837,6,0.00326619488296135,734800.0,2957600.0,2222800.0,4.025040827436037,"부산 20250404 8R (7, 3, 10) @1898.0 | 부산 20250620 7R (4, 10, 2) @158.0 | 부산 20251121 8R (5, 7, 4) @17900.0"
