전략명,1착군,2착군,3착군,구멍수,적용경주수,전체기준경주수,적중수,적중률,총베팅액,총환수액,이익금,환수율,적중예시
"1착(2,5) / 2착(1) / 3착(3~4,6~8) 삼쌍","2,5",1,"3~4,6~8",10,1837,1837,70,0.03810560696788242,1837000.0,1516000.0,-321000.0,0.8252585737615677,"부산 20250105 3R (11, 4, 12) @374.0 | 부산 20250105 6R (4, 1, 5) @14.0 | 부산 20250126 6R (7, 3, 9) @26.0"
"1착(1,7) / 2착(3~4) / 3착(2,5,8) 삼쌍","1,7",3~4,"2,5,8",12,1837,1837,76,0.04137180185084377,2204400.0,1789300.0,-415100.0,0.8116947922337144,"부산 20250110 8R (7, 3, 8) @257.0 | 부산 20250119 3R (9, 8, 2) @40.0 | 부산 20250207 8R (6, 9, 12) @2751.0"
"1착(1,5,8) / 2착(2,6) / 3착(3~4) 삼쌍","1,5,8","2,6",3~4,12,1837,1837,79,0.04300489929232444,2204400.0,1787200.0,-417200.0,0.8107421520595173,"부산 20250103 3R (6, 5, 11) @1527.0 | 부산 20250105 5R (7, 8, 11) @120.0 | 부산 20250126 5R (6, 1, 12) @242.0"
"1착(1,6,8) / 2착(2) / 3착(3~5) 삼쌍","1,6,8",2,3~5,9,1837,1837,74,0.040283070223189985,1653300.0,1337200.0,-316100.0,0.8088066291659106,"부산 20250103 3R (6, 5, 11) @1527.0 | 부산 20250105 5R (7, 8, 11) @120.0 | 부산 20250117 7R (3, 9, 8) @312.0"
"1착(1,5~6) / 2착(2,4) / 3착(3,7) 삼쌍","1,5~6","2,4","3,7",12,1837,1837,79,0.04300489929232444,2204400.0,1782300.0,-422100.0,0.8085193249863909,"부산 20250105 5R (7, 8, 11) @120.0 | 부산 20250117 7R (3, 9, 8) @312.0 | 부산 20250126 5R (6, 1, 12) @242.0"
"1착(1,3,8) / 2착(2,6) / 3착(4~5) 삼쌍","1,3,8","2,6",4~5,12,1837,1837,74,0.040283070223189985,2204400.0,1782000.0,-422400.0,0.8083832335329342,"부산 20250103 3R (6, 5, 11) @1527.0 | 부산 20250124 5R (8, 5, 10) @223.0 | 부산 20250216 5R (12, 5, 11) @341.0"
"1착(1,8) / 2착(2,4) / 3착(3,6) 삼쌍","1,8","2,4","3,6",8,1837,1837,70,0.03810560696788242,1469600.0,1187400.0,-282200.0,0.807974959172564,"부산 20250105 5R (7, 8, 11) @120.0 | 부산 20250117 4R (11, 2, 1) @258.0 | 부산 20250126 5R (6, 1, 12) @242.0"
"1착(1,6) / 2착(2,7) / 3착(3~4,8) 삼쌍","1,6","2,7","3~4,8",12,1837,1837,81,0.04409363091997823,2204400.0,1772000.0,-432400.0,0.8038468517510434,"부산 20250103 3R (6, 5, 11) @1527.0 | 부산 20250105 5R (7, 8, 11) @120.0 | 부산 20250117 7R (3, 9, 8) @312.0"
"1착(2~3) / 2착(1,6) / 3착(4~5,8) 삼쌍",2~3,"1,6","4~5,8",12,1837,1837,74,0.040283070223189985,2204400.0,1768000.0,-436400.0,0.8020322990382871,"부산 20250105 3R (11, 4, 12) @374.0 | 부산 20250105 6R (4, 1, 5) @14.0 | 부산 20250117 6R (7, 6, 2) @215.0"
"1착(1,3) / 2착(5~6) / 3착(2,4,7) 삼쌍","1,3",5~6,"2,4,7",12,1837,1837,71,0.038649972781709306,2204400.0,1765800.0,-438600.0,0.8010342950462711,"부산 20250323 3R (10, 12, 8) @76.0 | 부산 20250328 7R (4, 7, 12) @112.0 | 부산 20250418 4R (5, 10, 3) @65.0"
"1착(1,8) / 2착(3,5) / 3착(2,6~7) 삼쌍","1,8","3,5","2,6~7",12,1837,1837,72,0.0391943385955362,2204400.0,1764500.0,-439900.0,0.8004445654146253,"부산 20250110 8R (7, 3, 8) @257.0 | 부산 20250302 5R (12, 3, 7) @24.0 | 부산 20250418 6R (6, 2, 7) @1204.0"
"1착(1,5) / 2착(2,4,6) / 3착(3,7) 삼쌍","1,5","2,4,6","3,7",12,1837,1837,80,0.043549265106151334,2204400.0,1764100.0,-440300.0,0.8002631101433496,"부산 20250105 5R (7, 8, 11) @120.0 | 부산 20250126 5R (6, 1, 12) @242.0 | 부산 20250323 2R (2, 11, 8) @286.0"
"1착(1~2) / 2착(4,8) / 3착(3,5,7) 삼쌍",1~2,"4,8","3,5,7",12,1837,1837,77,0.041916167664670656,2204400.0,1760800.0,-443600.0,0.7987661041553257,"부산 20250110 3R (3, 6, 9) @127.0 | 부산 20250117 8R (7, 12, 4) @135.0 | 부산 20250124 6R (10, 8, 3) @88.0"
"1착(1,3) / 2착(2,5~6) / 3착(4,7) 삼쌍","1,3","2,5~6","4,7",12,1837,1837,79,0.04300489929232444,2204400.0,1760700.0,-443700.0,0.7987207403375068,"부산 20250103 3R (6, 5, 11) @1527.0 | 부산 20250124 5R (8, 5, 10) @223.0 | 부산 20250302 6R (12, 3, 6) @82.0"
"1착(1,8) / 2착(3,7) / 3착(2,4,6) 삼쌍","1,8","3,7","2,4,6",12,1837,1837,74,0.040283070223189985,2204400.0,1749000.0,-455400.0,0.7934131736526946,"부산 20250103 6R (5, 8, 6) @2746.0 | 부산 20250110 6R (10, 6, 4) @1207.0 | 부산 20250110 8R (7, 3, 8) @257.0"
"1착(1,8) / 2착(3~4,7) / 3착(5~6) 삼쌍","1,8","3~4,7",5~6,12,1837,1837,74,0.040283070223189985,2204400.0,1742900.0,-461500.0,0.7906459807657412,"부산 20250117 4R (11, 2, 1) @258.0 | 부산 20250302 2R (11, 5, 3) @427.0 | 부산 20250309 3R (10, 8, 11) @440.0"
