전략명,1군,2군,3군,구멍수,적용경주수,전체기준경주수,적중수,적중률,총베팅액,총환수액,이익금,환수율,적중예시
"1군(1,8) / 2군(2,7) / 3군(4~5) 삼복","1,8","2,7",4~5,8,1837,1837,213,0.11594991834512793,1469600.0,1251100.0,-218500.0,0.8513200870985302,"부산 20250103 3R (6, 5, 11) @95.0 | 부산 20250105 6R (4, 1, 5) @3.0 | 부산 20250119 3R (9, 8, 2) @7.0"
"1군(1,4,6) / 2군(2,8) / 3군(5) 삼복","1,4,6","2,8",5,6,1837,1837,157,0.085465432770822,1102200.0,938300.0,-163900.0,0.8512974051896207,"부산 20250105 2R (11, 3, 7) @125.0 | 부산 20250110 3R (3, 6, 9) @37.0 | 부산 20250117 8R (7, 12, 4) @15.0"
"1군(1~4,8) / 2군(5~6) / 3군(7) 삼복","1~4,8",5~6,7,10,1837,1837,110,0.059880239520958084,1837000.0,1563800.0,-273200.0,0.8512792596624932,"부산 20250119 5R (9, 1, 4) @214.0 | 부산 20250209 6R (8, 6, 4) @11.0 | 부산 20250216 3R (7, 6, 11) @638.0"
"1군(2,6,8) / 2군(3~4) / 3군(5,7) 삼복","2,6,8",3~4,"5,7",12,1837,1837,203,0.11050626020685901,2204400.0,1876500.0,-327900.0,0.8512520413718019,"부산 20250110 3R (3, 6, 9) @37.0 | 부산 20250110 5R (11, 8, 5) @35.0 | 부산 20250124 6R (10, 8, 3) @14.0"
"1군(1~2,7) / 2군(3,6) / 3군(4,8) 삼복","1~2,7","3,6","4,8",12,1837,1837,248,0.13500272182906914,2204400.0,1876300.0,-328100.0,0.851161313736164,"부산 20250110 6R (10, 6, 4) @120.0 | 부산 20250110 7R (6, 3, 8) @86.0 | 부산 20250117 4R (11, 2, 1) @76.0"
"1군(1~3,6) / 2군(4) / 3군(5) 삼복","1~3,6",4,5,4,1837,1837,110,0.059880239520958084,734800.0,625400.0,-109400.0,0.8511159499183452,"부산 20250110 3R (3, 6, 9) @37.0 | 부산 20250207 9R (5, 3, 6) @20.0 | 부산 20250307 7R (8, 9, 5) @30.0"
"1군(1,3,5,7) / 2군(2,6) / 3군(8) 삼복","1,3,5,7","2,6",8,8,1837,1837,109,0.05933587370713119,1469600.0,1250800.0,-218800.0,0.8511159499183452,"부산 20250105 3R (11, 4, 12) @35.0 | 부산 20250110 4R (9, 3, 4) @667.0 | 부산 20250119 6R (7, 8, 3) @298.0"
"1군(1,7) / 2군(2,8) / 3군(3~6) 삼복","1,7","2,8",3~6,16,1837,1837,430,0.23407729994556342,2939200.0,2501500.0,-437700.0,0.851081927054981,"부산 20250103 3R (6, 5, 11) @95.0 | 부산 20250103 4R (10, 6, 12) @334.0 | 부산 20250105 5R (7, 8, 11) @25.0"
"1군(1~2,6) / 2군(3~4) / 3군(5,8) 삼복","1~2,6",3~4,"5,8",12,1837,1837,290,0.1578660860097986,2204400.0,1876100.0,-328300.0,0.8510705861005262,"부산 20250103 4R (10, 6, 12) @334.0 | 부산 20250110 3R (3, 6, 9) @37.0 | 부산 20250119 2R (9, 4, 2) @24.0"
"1군(1~2) / 2군(4,6~7) / 3군(5,8) 삼복",1~2,"4,6~7","5,8",12,1837,1837,239,0.1301034295046271,2204400.0,1876100.0,-328300.0,0.8510705861005262,"부산 20250103 4R (10, 6, 12) @334.0 | 부산 20250105 2R (11, 3, 7) @125.0 | 부산 20250110 3R (3, 6, 9) @37.0"
"1군(1,3,6) / 2군(2,5,8) / 3군(4,7) 삼복","1,3,6","2,5,8","4,7",18,1837,1837,373,0.2030484485574306,3306600.0,2814000.0,-492600.0,0.8510252222827073,"부산 20250103 3R (6, 5, 11) @95.0 | 부산 20250103 4R (10, 6, 12) @334.0 | 부산 20250103 5R (5, 3, 12) @275.0"
"1군(1~2,4,7) / 2군(3,5) / 3군(6,8) 삼복","1~2,4,7","3,5","6,8",16,1837,1837,267,0.14534567229178008,2939200.0,2501100.0,-438100.0,0.8509458356015243,"부산 20250103 5R (5, 3, 12) @275.0 | 부산 20250103 6R (5, 8, 6) @371.0 | 부산 20250103 8R (10, 6, 2) @359.0"
"1군(2,4,8) / 2군(3,7) / 3군(5~6) 삼복","2,4,8","3,7",5~6,12,1837,1837,201,0.10941752857920523,2204400.0,1875500.0,-328900.0,0.8507984031936128,"부산 20250117 7R (3, 9, 8) @49.0 | 부산 20250119 5R (9, 1, 4) @214.0 | 부산 20250207 5R (2, 6, 1) @13.0"
"1군(2,8) / 2군(3) / 3군(4,6~7) 삼복","2,8",3,"4,6~7",6,1837,1837,137,0.07457811649428416,1102200.0,937700.0,-164500.0,0.8507530393757938,"부산 20250103 5R (5, 3, 12) @275.0 | 부산 20250103 6R (5, 8, 6) @371.0 | 부산 20250103 8R (10, 6, 2) @359.0"
"1군(1,3,8) / 2군(2,5) / 3군(4) 삼복","1,3,8","2,5",4,6,1837,1837,186,0.10125204137180185,1102200.0,937500.0,-164700.0,0.8505715841045183,"부산 20250103 3R (6, 5, 11) @95.0 | 부산 20250105 6R (4, 1, 5) @3.0 | 부산 20250119 3R (9, 8, 2) @7.0"
"1군(1,8) / 2군(2~4) / 3군(6~7) 삼복","1,8",2~4,6~7,12,1837,1837,264,0.1437125748502994,2204400.0,1875000.0,-329400.0,0.8505715841045183,"부산 20250110 4R (9, 3, 4) @667.0 | 부산 20250110 7R (6, 3, 8) @86.0 | 부산 20250117 4R (11, 2, 1) @76.0"
"1군(1) / 2군(2~3,5~6,8) / 3군(4,7) 삼복",1,"2~3,5~6,8","4,7",10,1837,1837,333,0.18127381600435494,1837000.0,1562400.0,-274600.0,0.8505171475231356,"부산 20250103 3R (6, 5, 11) @95.0 | 부산 20250103 4R (10, 6, 12) @334.0 | 부산 20250105 6R (4, 1, 5) @3.0"
"1군(1,3,7) / 2군(2,4,8) / 3군(5) 삼복","1,3,7","2,4,8",5,9,1837,1837,235,0.12792596624931954,1653300.0,1406100.0,-247200.0,0.8504808564688804,"부산 20250117 8R (7, 12, 4) @15.0 | 부산 20250119 5R (9, 1, 4) @214.0 | 부산 20250207 5R (2, 6, 1) @13.0"
"1군(2,4,7~8) / 2군(3,6) / 3군(5) 삼복","2,4,7~8","3,6",5,8,1837,1837,125,0.06804572672836146,1469600.0,1249800.0,-219800.0,0.8504354926510616,"부산 20250105 2R (11, 3, 7) @125.0 | 부산 20250207 5R (2, 6, 1) @13.0 | 부산 20250307 8R (7, 8, 1) @55.0"
"1군(1,5,8) / 2군(3,6) / 3군(4,7) 삼복","1,5,8","3,6","4,7",12,1837,1837,224,0.12193794229722374,2204400.0,1874400.0,-330000.0,0.8502994011976048,"부산 20250103 5R (5, 3, 12) @275.0 | 부산 20250103 6R (5, 8, 6) @371.0 | 부산 20250103 8R (10, 6, 2) @359.0"
"1군(1,5) / 2군(2~4,6,8) / 3군(7) 삼복","1,5","2~4,6,8",7,10,1837,1837,170,0.09254218835057158,1837000.0,1561900.0,-275100.0,0.8502449646162221,"부산 20250119 5R (9, 1, 4) @214.0 | 부산 20250316 4R (4, 1, 12) @18.0 | 부산 20250323 5R (8, 6, 12) @46.0"
"1군(1~2,4) / 2군(3,5,7~8) / 3군(6) 삼복","1~2,4","3,5,7~8",6,12,1837,1837,210,0.11431682090364725,2204400.0,1874200.0,-330200.0,0.8502086735619669,"부산 20250105 2R (11, 3, 7) @125.0 | 부산 20250117 7R (3, 9, 8) @49.0 | 부산 20250221 7R (6, 1, 4) @48.0"
"1군(1,3) / 2군(2,5) / 3군(4,6,8) 삼복","1,3","2,5","4,6,8",12,1837,1837,365,0.19869352204681545,2204400.0,1874100.0,-330300.0,0.8501633097441481,"부산 20250103 3R (6, 5, 11) @95.0 | 부산 20250105 3R (11, 4, 12) @35.0 | 부산 20250105 6R (4, 1, 5) @3.0"
"1군(1,4~5,7) / 2군(2~3,8) / 3군(6) 삼복","1,4~5,7","2~3,8",6,12,1837,1837,216,0.1175830157866086,2204400.0,1873800.0,-330600.0,0.8500272182906914,"부산 20250105 2R (11, 3, 7) @125.0 | 부산 20250126 6R (7, 3, 9) @8.0 | 부산 20250216 3R (7, 6, 11) @638.0"
"1군(1,8) / 2군(2~3,6) / 3군(4~5,7) 삼복","1,8","2~3,6","4~5,7",18,1837,1837,466,0.25367446924333154,3306600.0,2810400.0,-496200.0,0.8499364906550535,"부산 20250103 3R (6, 5, 11) @95.0 | 부산 20250103 5R (5, 3, 12) @275.0 | 부산 20250103 6R (5, 8, 6) @371.0"
"1군(1,6,8) / 2군(2) / 3군(5,7) 삼복","1,6,8",2,"5,7",6,1837,1837,159,0.08655416439847577,1102200.0,936700.0,-165500.0,0.8498457630194157,"부산 20250105 2R (11, 3, 7) @125.0 | 부산 20250110 4R (9, 3, 4) @667.0 | 부산 20250207 7R (5, 3, 10) @35.0"
"1군(2,6) / 2군(3) / 3군(4~5) 삼복","2,6",3,4~5,4,1837,1837,118,0.06423516603157321,734800.0,624400.0,-110400.0,0.849755035383778,"부산 20250124 5R (8, 5, 10) @25.0 | 부산 20250221 9R (3, 8, 10) @62.0 | 부산 20250316 3R (4, 8, 1) @42.0"
"1군(1,3) / 2군(2,6) / 3군(5,7) 삼복","1,3","2,6","5,7",8,1837,1837,231,0.12574850299401197,1469600.0,1248800.0,-220800.0,0.849755035383778,"부산 20250110 5R (11, 8, 5) @35.0 | 부산 20250207 7R (5, 3, 10) @35.0 | 부산 20250216 3R (7, 6, 11) @638.0"
"1군(1,3,8) / 2군(2,4) / 3군(6~7) 삼복","1,3,8","2,4",6~7,12,1837,1837,268,0.14589003810560697,2204400.0,1873100.0,-331300.0,0.849709671565959,"부산 20250110 4R (9, 3, 4) @667.0 | 부산 20250110 5R (11, 8, 5) @35.0 | 부산 20250110 7R (6, 3, 8) @86.0"
"1군(1~2) / 2군(4,7) / 3군(6,8) 삼복",1~2,"4,7","6,8",8,1837,1837,138,0.07512248230811105,1469600.0,1248700.0,-220900.0,0.8496869896570496,"부산 20250103 4R (10, 6, 12) @334.0 | 부산 20250110 4R (9, 3, 4) @667.0 | 부산 20250110 7R (6, 3, 8) @86.0"
